nrow,ncol,value,Estimate,Est.Error,Q2.5,Q97.5,upper,lower,z_score
1,2,0.0003586801,0.0403989870673591,0.000116862043621759,0.0362027730376496,0.0445952010970686,FALSE,TRUE,-3.77423155891037
2,3,0.0113599481,0.0403989870673591,0.000116862043621759,0.0362027730376496,0.0445952010970686,FALSE,TRUE,-2.73664979782362
3,4,0.0125955915,0.0403989870673591,0.000116862043621759,0.0362027730376496,0.0445952010970686,FALSE,TRUE,-2.62011040845076
4,5,0.0044217687,0.0403989870673591,0.000116862043621759,0.0362027730376496,0.0445952010970686,FALSE,TRUE,-3.39102240292585
57,58,0.0155891793,0.0403989870673591,0.000116862043621759,0.0362027730376496,0.0445952010970686,FALSE,TRUE,-2.33777094526417
58,59,0.0128263857,0.0403989870673591,0.000116862043621759,0.0362027730376496,0.0445952010970686,FALSE,TRUE,-2.59834311285496
141,142,0.0152905199,0.0403989870673591,0.000116862043621759,0.0362027730376496,0.0445952010970686,FALSE,TRUE,-2.36593892973806
142,143,0.0117302053,0.0403989870673591,0.000116862043621759,0.0362027730376496,0.0445952010970686,FALSE,TRUE,-2.70172908526294
1,3,0,0.0185021920416477,8.27675008630842e-05,0.0143123222681947,0.0226920618151008,FALSE,TRUE,-3.05440647546642
2,4,0.0032799537,0.0185021920416477,8.27675008630842e-05,0.0143123222681947,0.0226920618151008,FALSE,TRUE,-2.5085022803388
4,6,0.0034693878,0.0185021920416477,8.27675008630842e-05,0.0143123222681947,0.0226920618151008,FALSE,TRUE,-2.47697352129253
11,13,0.0370873786,0.0185021920416477,8.27675008630842e-05,0.0143123222681947,0.0226920618151008,TRUE,FALSE,3.11828906106702
40,42,0.0059944337,0.0185021920416477,8.27675008630842e-05,0.0143123222681947,0.0226920618151008,FALSE,TRUE,-2.05671357990988
90,92,0.0321988995,0.0185021920416477,8.27675008630842e-05,0.0143123222681947,0.0226920618151008,TRUE,FALSE,2.30466743937044
142,144,0.0060301508,0.0185021920416477,8.27675008630842e-05,0.0143123222681947,0.0226920618151008,FALSE,TRUE,-2.05076894882323
158,160,0.0058765916,0.0185021920416477,8.27675008630842e-05,0.0143123222681947,0.0226920618151008,FALSE,TRUE,-2.07632681309444
1,4,0.0005200208,0.00934088774325069,6.65602896360331e-05,0.00515327618689509,0.0135284992996063,FALSE,TRUE,-2.26714631518617
2,5,0.038129018,0.00934088774325069,6.65602896360331e-05,0.00515327618689509,0.0135284992996063,TRUE,FALSE,6.75600874410014
4,7,0.0006898931,0.00934088774325069,6.65602896360331e-05,0.00515327618689509,0.0135284992996063,FALSE,TRUE,-2.22639053286561
1,5,0,0.00513554422513336,4.9311635535117e-05,0.000949798464271468,0.00932128998599526,FALSE,TRUE,-2.18537815896291
2,6,0.0127990248,0.00513554422513336,4.9311635535117e-05,0.000949798464271468,0.00932128998599526,TRUE,FALSE,3.20794672803358
4,8,0.0002316423,0.00513554422513336,4.9311635535117e-05,0.000949798464271468,0.00932128998599526,FALSE,TRUE,-2.08776742681782
17,21,0.000353857,0.00513554422513336,4.9311635535117e-05,0.000949798464271468,0.00932128998599526,FALSE,TRUE,-2.03626791077135
56,60,0.012987013,0.00513554422513336,4.9311635535117e-05,0.000949798464271468,0.00932128998599526,TRUE,FALSE,3.28716225057258
57,61,0.0117498951,0.00513554422513336,4.9311635535117e-05,0.000949798464271468,0.00932128998599526,TRUE,FALSE,2.76585856826244
140,144,0.0116013693,0.00513554422513336,4.9311635535117e-05,0.000949798464271468,0.00932128998599526,TRUE,FALSE,2.70327193326342
56,61,0.0072501295,0.00304227058747062,3.89733740736532e-05,-0.00114262284670593,0.00722716402164717,TRUE,FALSE,3.31974690934496
17,128,0.0052210801,7.726622098385e-05,1.1307089236275e-05,-0.00410632784158897,0.00426086028355667,TRUE,FALSE,3.15676586830452
18,129,0.0074484339,7.726622098385e-05,1.1307089236275e-05,-0.00410632784158897,0.00426086028355667,TRUE,FALSE,4.69192624619435
19,130,0.0049989133,7.726622098385e-05,1.1307089236275e-05,-0.00410632784158897,0.00426086028355667,TRUE,FALSE,3.00364171324546
17,129,0.0081611391,7.72661950096802e-05,1.13070957227739e-05,-0.00410632786770018,0.00426086025771954,TRUE,FALSE,4.90815471258057
18,130,0.0064620355,7.72661950096802e-05,1.13070957227739e-05,-0.00410632786770018,0.00426086025771954,TRUE,FALSE,3.79861380060492
15,129,0.006205512,7.72661523787338e-05,1.13071067304197e-05,-0.00410632791056368,0.00426086021532115,TRUE,FALSE,5.89092121671739
